abide | 遵守，容忍，停留
adage | 格言，谚语
address some of the most pressing problems | 解决
adequate | 足够的
adjudicate | 判决
advent | 出现，降临
affront | 冒犯，侮辱
agnostic | 不可知的
albeit | 尽管
alleviate | 缓解，减缓
allusion | 引用
altruistic | 无私的，利他主义
amorpohous | 模糊的，不规则的
amortize | 分期偿还
amount to | 折合，意味着
analogous | 相似的
analogy | 类比
annotate | 注释
arguably | 按理说，应该说
articulate | 表达
ascribe | 把..归功于
augment | 加强
auxiliary | 辅助的,补充的，附加的
be akin to | 类比于
be essential to | 对...至关重要的
be weary of | 厌倦
bilateral | 双边的
camouflage | 伪装
clairvoyance | 洞察力
clamor | 争吵，喧闹 clamor for 鼓噪
coincide with | 和...一致
collude | 密谋
commerce | 商业
commodity | 商品，有价值物品
compact | 使紧凑，简化
compensate | 弥补，抵消
compensation | 违约金，赔偿
complementary | 互补的，补充的
conceive | 构思，设想
confer | confer .. to .. 颁发..给..
confine to | 局限于
conjecture | 推测
consecutive | 连续的
consensus | 一致
considerable | 相当大的，应注意的
consolidate | 合并，巩固
contagious | 有传染性的
contend | 斗争 contend for 争夺
contentious | 有争议的
contiguous | 相邻的，共同的
converge | 引出，诱导
conversely | 相反 == on the contrary == oppositely
counterfeit | 伪造的
crucial | 关键的，重要的
crude | 简陋的
de-facto | 事实上的 == actual
decidedly | 毫无疑问的，果断的
decimate | 大批杀害，十中抽一
decommission | 退役
defect | n.缺点 v.背叛
demystify | 阐述
denomination | 面额
denominator | 共性，标准
depart from | 背离，违背 == deviate from 
depict | 描绘，画出
deposit | 存款，保证金
desiderata | 迫切需要物
detract from | 减损
detriment | to the detriment 对..有损害
deviate from | 违背
devise | 设计，发明
disburse | 支出
disertation | 论文
disjoint | adj. 不相交的, v. (使)脱节
disparate | 完全不同的，不能相比的
dispute | 纠纷，争论
disrepair | 破损的，失修的
dividend | 红利
egress | 退出
elaborate | 详尽说明，尽心地做
elapse | (时间)消逝
empirical | 经验主义的
encompass | 围绕，包含
encumber | 妨碍，拖累
endorse | 批准，证明
essential | 必要的，本质的
etymology | 词源学
eviction | 逐出，驱逐
extensive | 广阔的，外延的
extent | 程度
fall short of | 缺乏
faucet | 水龙头 == tap
fidelity | 保真度，逼真度
flourishing | 繁荣的，茂盛的
fluctuation |　波动性
forfeit | 丧失
fraction | 片段，小部分
from the scratch | 白手起家
fully fledged | 完全成熟的
fungible | 可代替的
funky | 时髦的
gauge | (用仪器)测量
granularity | 粒度
hamper | 妨碍,约束 == constraint
havoc | 浩劫，大混乱
hereof | of this ，在本文中
heterogeneous | 混杂的
hinder |　阻碍
hinges on | 取决于
homestead | 宅地，家园
impediment | 妨碍，阻碍
impose | 强加
incentive | 动机
inclusive | 包含广泛的
incur | 承担
infeasible | 不可行的
inflation | 通货膨胀，膨胀
ingress | 进入
inherent | 固有的
inherit | 继承
insight | 深刻见解
instantaneous | 即时的，瞬时的
instrinsic | 固有的，天生的
intermediate | adj. 中间的， v.调解
interplay | 相互作用
intersection | 交集，交点
intrinsic | 本征的，固有的，本质的
is subject to | 受...支配
issuance | 发行
issue | n.问题 v.发行，造成
kluge | 异机种系统
liquidity | 流动性，流动资金
mandate | 授权，批准
meager | 贫乏的
mediate | 调解
metaphor | 比喻
metapohor，analogy，allusion | 英语修辞手法，rhetoric
mileage |　里程数
miscellanea | 杂项
mitigate | 缓和,减轻
moderate | 温和的，有节制的
modicum | 少量，一点
monetary | 金钱的，财政的
monetary | 金钱的，货币的
monopolize | 垄断的
monotonic | 单调的，无变化的
notwithstanding , nevertheless , however | 然而
novelty | 新颖的事物，花样
obscure | 不著名的，不清楚的，模糊的
obsolete | 废弃的
orders of magnitude | 数量级
outset | 开始
overlook | 忽略，远眺
patent | 专利
pedagogical | 教学的
perceive | 感知，觉察
periphery | 边缘，外围
permeate | 渗入，贯穿
piecemeal | 逐个的
plausible | 貌似合理的
plummet | 暴跌
preamble | 前言，前文
predate | 居先
predecessor | 前任，前辈，前身
preliminary | 初级的
presumably | 可能 == probably
prevalence | 流行程度
primitive | 原始的，原语
prior | 优先的，在前的
prohibitive | 禁止的，抑制的
prominent| 著名的，杰出的
prone | 易于，倾向于，俯卧的
provision | 规定，供应 well-provisioned 供应好的，配置好的
proximity | 接近度
prudent | 谨慎的，精明的，世故的
prune | 修剪
pseudonimity | 假名
pull off | 胜利完成，靠边停车
purportedly | 据称
quirk | 奇事，怪癖
rationale | 理论基础
recipient | 接收者
recoup | 偿还，补偿
relay | n.中继，继电器 v.传播
renege | 违约，食言
revenue | 收入
revert | vi.恢复 revert to 恢复到, n.归属
rhetoric | 修辞手法
rigorous | 严格的
rivalrous | 竞争性的
salience | 凸显度，特点
scant | 不充分的，不足的
scarce | 稀缺的
scratch | 刮表面,破烂
scruple | 顾虑
scrutiny | 监督
shoehorn | 鞋拔子，硬塞
simultaneously | 同时地， == at the same time
solicit | 征求，恳求
spectrum | 光谱
speculator | 投机商，投机者
stakeholder | 股东
stale | 陈腐的
subsequently | 随后
substance | 物质，材料
substantial | 大量的，重大的，牢固的
substrate | 基底，底层
supplementary | 补充的，追加的
susceptible | 敏感的，易受影响的
synergy | 协同，配合
tackle | 着手处理
taxonomy | 分类学
tentative | 试探性的
terminology | 术语
thereof | of the thing mentioned ，关于那
thrive | 茁壮成长
throughput | 吞吐量，生产量
traction | 牵引力
trade-off | 权衡
transitive | 传递的，及物的
twofold　| 双重的，有两部分的
unilateral | 单边的，单方的
unravel | 阐明
up to scratch | 合乎标准
upshot | 结果，要点
vandalism | 故意破坏
viable | 可行的
vibrant | 有活力的 v. vibrate
volatile | 易变的，不稳定的
volatility | 挥发性，不稳定性
withstand | 经得起
