extensive | 广阔的，外延的

preliminary | 初级的

address some of the most pressing problems | 解决

disertation | 论文

kluge | 异机种系统

inherent | 固有的

mitigate | 缓和,减轻

agnostic | 不可知的

adequate | 足够的

recipient | 接收者

demystify | 阐述

incentive | 动机

consensus | 一致

susceptible | 敏感的，易受影响的

primitive | 原始的，原语

endorse | 批准，证明

spectrum | 光谱

pseudonimity | 假名

compensate | 弥补，抵消

compensation | 违约金，赔偿

heterogeneous | 混杂的

hamper | 妨碍,约束 == constraint

presumably | 可能 == probably

viable | 可行的

decommission | 退役

de-facto | 事实上的 == actual

notwithstanding , nevertheless , however | 然而

withstand | 经得起

annotate | 注释

twofold　| 双重的，有两部分的

tackle | 着手处理

taxonomy | 分类学

granularity | 粒度

prone | 易于，倾向于，俯卧的

devise | 设计，发明

impose | 强加

hinges on | 取决于

provision | 规定，供应 well-provisioned 供应好的，配置好的

altruistic | 无私的，利他主义

consecutive | 连续的

terminology | 术语

depict | 描绘，画出

unravel | 阐明

stale | 陈腐的

obsolete | 废弃的

scrutiny | 监督

unilateral | 单边的，单方的

analogous | 相似的

monopolize | 垄断的

moderate | 温和的，有节制的

depart from | 背离，违背 == deviate from 

deviate from | 违背

infeasible | 不可行的

salience | 凸显度，特点

contentious | 有争议的

incur | 承担

permeate | 渗入，贯穿

interplay | 相互作用

is subject to | 受...支配

extent | 程度

detract from | 减损

amortize | 分期偿还

instrinsic | 固有的，天生的

miscellanea | 杂项

simultaneously | 同时地， == at the same time

fungible | 可代替的

fully fledged | 完全成熟的

traction | 牵引力

scant | 不充分的，不足的

fall short of | 缺乏

piecemeal | 逐个的

scratch | 刮表面,破烂

from the scratch | 白手起家

up to scratch | 合乎标准

detriment | to the detriment 对..有损害

mileage |　里程数

decidedly | 毫无疑问的，果断的

trade-off | 权衡

decimate | 大批杀害，十中抽一

monetary | 金钱的，财政的

amount to | 折合，意味着

rivalrous | 竞争性的

collude | 密谋

metaphor | 比喻

analogy | 类比

allusion | 引用

metapohor，analogy，allusion | 英语修辞手法，rhetoric

rhetoric | 修辞手法

be akin to | 类比于

revenue | 收入

vandalism | 故意破坏

orders of magnitude | 数量级

defect | n.缺点 v.背叛

disparate | 完全不同的

commodity | 商品，有价值物品

stakeholder | 股东

rigorous | 严格的

purportedly | 据称

clairvoyance | 洞察力

funky | 时髦的

novelty | 新颖的事物，花样

counterfeit | 伪造的

inherit | 继承

issue | n.问题 v.发行，造成

confer | confer .. to .. 颁发..给..

prominent| 著名的，杰出的

conceive | 构思，设想

adage | 格言，谚语

encompass | 围绕，包含

proximity | 接近度

abide | 遵守，容忍，停留

ascribe | 把..归功于

forfeit | 丧失

disburse | 支出

dividend | 红利

predecessor | 前任，前辈，前身

prior | 优先的，在前的

patent | 专利

clamor | 争吵，喧闹 clamor for 鼓噪

shoehorn | 鞋拔子，硬塞

confine to | 局限于

renege | 违约，食言

empirical | 经验主义的

deposit | 存款，保证金

elapse | (时间)消逝

thrive | 茁壮成长

albeit | 尽管

upshot | 结果，要点

havoc | 浩劫，大混乱

affront | 冒犯，侮辱

prune | 修剪

relay | n.中继，继电器 v.传播

modicum | 少量，一点

fraction | 片段，小部分

conversely | 相反 == on the contrary == oppositely

recoup | 偿还，补偿

insight | 深刻见解

volatile | 易变的，不稳定的

volatility | 挥发性，不稳定性

flourishing | 繁荣的，茂盛的

prohibitive | 禁止的，抑制的

issuance | 发行

inflation | 通货膨胀，膨胀

predate | 居先

mandate | 授权，批准

pull off | 胜利完成，靠边停车

plummet | 暴跌

obscure | 不著名的，不清楚的，模糊的

be weary of | 厌倦

speculator | 投机商，投机者

adjudicate | 判决

liquidity | 流动性，流动资金

fluctuation |　波动性

hinder |　阻碍

pedagogical | 教学的

commerce | 商业

dispute | 纠纷，争论

compact | 使紧凑，简化

substance | 物质，材料

substantial | 大量的，重大的，牢固的

contend | 斗争 contend for 争夺

prudent | 谨慎的，精明的，世故的

rationale | 理论基础

thereof | of the thing mentioned ，关于那

hereof | of this ，在本文中

crude | 简陋的

quirk | 奇事，怪癖

consolidate | 合并，巩固

coincide with | 和...一致

faucet | 水龙头 == tap

bilateral | 双边的

encumber | 妨碍，拖累

auxiliary | 辅助的,补充的，附加的

meager | 贫乏的

impediment | 妨碍，阻碍

scruple | 顾虑

etymology | 词源学

disrepair | 破损的，失修的

desiderata | 迫切需要物

articulate | 表达

conjecture | 推测

eviction | 逐出，驱逐

solicit | 征求，恳求

intermediate | adj. 中间的， v.调解

mediate | 调解

throughput | 吞吐量，生产量

inclusive | 包含广泛的

intrinsic | 本征的，固有的，本质的

arguably | 按理说，应该说

essential | 必要的，本质的

be essential to | 对...至关重要的

preamble | 前言，前文

advent | 出现，降临

elaborate | 详尽说明，尽心地做

homestead | 宅地，家园

denomination | 面额

revert | vi.恢复 revert to 恢复到, n.归属

monetary | 金钱的，货币的

disparate | 完全不同的，不能相比的

augment | 加强

amorpohous | 模糊的，不规则的

transitive | 传递的，及物的

ingress | 进入

egress | 退出

fidelity | 保真度

contiguous | 相邻的，共同的

contagious | 有传染性的
